signal_date,rank,instrument,score,pct_rank,side,ret_1d,ret_3d,ret_5d
2025-12-17,21,DELL,0.1812945488157508,0.0408366533864541,long,0.0283064842224121,0.03806734085083,0.0512444972991943
2025-12-17,22,Q,0.1798342784471045,0.0428286852589641,long,0.0084778070449829,0.0523852109909057,0.0655447244644165
2025-12-17,23,EPAM,0.1776747057004995,0.0448207171314741,long,0.0103853940963745,0.0047338008880615,0.0212056636810302
2025-12-17,24,NFLX,0.1746566464050164,0.046812749003984,long,0.0041489601135253,-0.0053191781044006,0.0049999952316284
2025-12-17,25,DG,0.1673069909919286,0.048804780876494,long,0.0043898820877075,-0.0177786946296691,0.0084869861602783
2025-12-17,26,FIX,0.1614574142748092,0.0507968127490039,long,0.024168848991394,0.0509830713272094,0.0493065118789672
2025-12-17,27,HUM,0.1576410028453825,0.0527888446215139,long,-0.0048721432685852,-0.0136188268661499,-0.0070588588714599
2025-12-17,28,ORCL,0.1529059381933619,0.0547808764940239,long,0.0663223266601562,0.0850414037704467,0.0997612476348877
2025-12-17,29,VRT,0.1454305245471778,0.0567729083665338,long,0.0351706743240356,0.0768831968307495,0.0854330062866211
2025-12-17,30,ZBRA,0.14342178213258,0.0587649402390438,long,-0.0041945576667785,-0.0235448479652404,-0.0254837870597839
2025-12-17,473,FOX,-0.3702959512608509,0.9412350597609562,short,0.0029963254928588,0.0171897411346435,0.03169846534729
2025-12-17,474,XYL,-0.3702959512608509,0.9432270916334662,short,0.0100958347320556,0.0141195058822631,0.0154364109039306
2025-12-17,475,XOM,-0.3702959512608509,0.945219123505976,short,0.0012871026992797,0.0247125625610351,0.022052526473999
2025-12-17,476,XEL,-0.3702959512608509,0.947211155378486,short,-0.0127700567245483,0.0054340362548828,0.0110038518905639
2025-12-17,477,WYNN,-0.3702959512608509,0.949203187250996,short,0.011303424835205,-0.0122520327568054,-0.0169947147369384
2025-12-17,478,WTW,-0.3702959512608509,0.951195219123506,short,0.0088275671005249,0.0080387592315673,0.015015959739685
2025-12-17,479,WSM,-0.3702959512608509,0.953187250996016,short,0.0080270767211914,-0.0066011548042297,-0.0040663480758666
2025-12-17,480,BLK,-0.3702959512608509,0.955179282868526,short,-0.0045258402824401,0.0202443599700927,0.0217090845108032
2025-12-17,481,HSIC,-0.3702959512608509,0.957171314741036,short,0.0042846202850341,-0.0067514777183532,-0.0115554332733154
2025-12-17,482,HRL,-0.3702959512608509,0.959163346613546,short,-0.0137500166893005,0.0037499666213989,0.0108333826065063
2025-12-17,483,YUM,-0.3702959512608509,0.9611553784860558,short,-0.0061408877372741,-0.0010988712310791,-0.0094375610351562
2025-12-17,484,WAB,-0.3702959512608509,0.9631474103585658,short,0.0118913650512695,0.0278557538986206,0.0267322063446044
2025-12-17,485,VZ,-0.3702959512608509,0.9651394422310756,short,-0.0146003365516662,-0.0121257305145263,0.0017322301864624
2025-12-17,486,VTR,-0.3702959512608509,0.9671314741035856,short,-0.0101364850997924,-0.0100113153457641,-0.0036290884017944
2025-12-17,487,VRTX,-0.3702959512608509,0.9691235059760956,short,0.0197148323059082,0.0264427661895751,0.0346908569335937
2025-12-17,488,VRSK,-0.3702959512608509,0.9711155378486056,short,-0.0024706721305847,-0.0005033016204833,0.0080980062484741
2025-12-17,489,VLTO,-0.3702959512608509,0.9731075697211156,short,-0.0017862319946289,0.0185571908950805,0.0097250938415527
2025-12-17,490,AON,-0.3702959512608509,0.9750996015936256,short,-0.0084413886070251,0.0080732107162475,0.0102827548980712
2025-12-17,491,AMT,-0.3702959512608509,0.9770916334661356,short,-0.0107865333557128,0.0012623071670532,0.0121636390686035
2025-12-17,492,AAPL,-0.3702959512608509,0.9790836653386454,short,0.0054373741149902,0.0006245374679565,0.0044454336166381
2025-12-17,493,AMGN,-0.3702959512608509,0.9810756972111554,short,0.0091239213943481,0.0217926502227783,0.0262314081192016
2025-12-17,494,AME,-0.3702959512608509,0.9830677290836654,short,0.0065853595733642,0.0326796770095825,0.032135009765625
2025-12-17,495,AMCR,-0.3702959512608509,0.9850597609561752,short,-0.0059952139854431,-0.0083933472633361,-0.002398133277893
2025-12-17,496,ALLE,-0.3702959512608509,0.9870517928286852,short,0.000500202178955,0.0043771266937255,0.0054402351379394
2025-12-17,497,ALL,-0.3702959512608509,0.9890438247011952,short,0.0003416538238525,0.0225443840026855,0.0140048265457153
2025-12-17,498,V,-0.3702959512608509,0.9910358565737052,short,0.0093638896942138,0.0212999582290649,0.0259819030761718
2025-12-17,499,UPS,-0.3702959512608509,0.9930278884462151,short,-0.0015674233436584,-0.01851487159729,-0.0150862336158752
2025-12-17,500,UNP,-0.3702959512608509,0.9950199203187252,short,-0.0008105039596557,-0.0011518001556396,-0.0041804909706115
2025-12-17,501,UNH,-0.3702959512608509,0.9970119521912352,short,-0.0021941661834716,-0.0101786851882934,0.0112451314926147
2025-12-17,502,TXT,-0.3702959512608509,0.999003984063745,short,0.0170532464981079,0.028876781463623,0.0256935358047485
2025-12-18,1,LITE,0.4315595836932169,0.0009960159362549,long,0.0496729612350463,0.065934419631958,0.0031769275665283
2025-12-18,2,COHR,0.4295564837971842,0.0029880478087649,long,0.0277134180068969,0.029812216758728,0.017166256904602
2025-12-18,3,WDC,0.40473325684811,0.0049800796812749,long,-0.0238568782806396,-0.0083941221237182,-0.0077314376831054
2025-12-18,4,ALB,0.402607611067927,0.0069721115537848,long,-0.0034274458885192,0.0180284976959228,-0.0089114308357238
2025-12-18,5,TER,0.3979163810932361,0.0089641434262948,long,0.0104519128799438,0.0171636343002319,0.0111691951751708
