date,L65_overheat_fired,top10_sector,top10_sector_pct,top10_pos_or_strong_pos_count,top10_strong_neg_count,top10_pre5d_mean_pct,top10_news_labels,top10_names,top30_top_sector,top30_top_sector_pct,top30_ret_1d,top30_ret_3d,top30_ret_5d,n_ret_1d,n_ret_5d
2025-11-18,False,Manufacturing,0.8,5,1,-8.28237111,NO-NEWS;POS;POS;NO-NEWS;POS;NO-NEWS;POS;STRONG-NEG;NO-NEWS;POS,LITE/MU/HOOD/STX/SNDK/CIEN/WDC/DXCM/COHR/APP,Manufacturing,0.6333333333333333,-0.05917073885599767,-0.0022976477940877204,0.029002094268798805,30,30
2025-11-19,False,Manufacturing,0.9,4,0,-8.03570691,NO-NEWS;NO-NEWS;NEUTRAL;NO-NEWS;NO-NEWS;POS;POS;NO-NEWS;POS;POS,LITE/COHR/TER/WDC/CIEN/SNDK/AMD/STX/HOOD/MU,Manufacturing,0.7,0.019448345899581877,0.07422815561294552,0.1262260735034942,30,30
2025-11-20,False,Manufacturing,1.0,5,1,-9.03475705,NEUTRAL;POS;NO-NEWS;POS;POS;NEUTRAL;POS;POS;STRONG-NEG;NO-NEWS,LITE/COHR/WDC/STX/SNDK/TER/MU/AMD/DXCM/CIEN,Manufacturing,0.7,0.04426456689834592,0.07985665798187253,0.09094715714454647,30,30
2025-11-21,False,Manufacturing,0.8,5,0,-8.981267235999999,POS;STRONG-POS;POS;NEUTRAL;NO-NEWS;POS;NO-NEWS;NO-NEWS;NO-NEWS;POS,LITE/HOOD/COHR/SNDK/WDC/AMD/DDOG/ZBRA/VRT/MU,Manufacturing,0.6666666666666666,0.010157573223114006,0.05824815034866328,0.05790762901306149,30,30
2025-11-24,False,Manufacturing,1.0,7,0,-0.6410384599999999,POS;NEUTRAL;POS;NO-NEWS;NO-NEWS;POS;POS;POS;POS;POS,AMD/SNDK/LITE/TER/WDC/COHR/STX/MU/VRT/INTC,Manufacturing,0.6333333333333333,0.025686424970626794,0.04035585920015968,0.05767442186673479,30,30
2025-11-25,True,Manufacturing,0.8,7,0,0.8379637500000002,NEUTRAL;STRONG-POS;POS;POS;POS;NO-NEWS;POS;NO-NEWS;POS;POS,SNDK/HOOD/AMD/COHR/LITE/WDC/MU/TER/COIN/VRT,Manufacturing,0.7666666666666667,0.02141917943954464,0.016233907143274932,0.030848793188730867,30,30
2025-11-26,True,Manufacturing,0.8,6,0,4.64874744,POS;POS;POS;NEUTRAL;POS;NO-NEWS;NO-NEWS;NO-NEWS;STRONG-POS;POS,COIN/LITE/COHR/SNDK/AMD/TER/BLDR/ALB/DELL/MU,Manufacturing,0.6333333333333333,-0.009323288997014335,0.01320379972457885,0.037946804364522274,30,30
2025-11-28,True,Manufacturing,0.9,7,0,16.70794018,POS;POS;NO-NEWS;POS;STRONG-POS;POS;NO-NEWS;POS;NEUTRAL;POS,ALB/COIN/COHR/VRT/DELL/SNDK/LITE/LLY/WDC/INTC,Manufacturing,0.6,0.00682326952616373,0.02160264650980631,0.05185512701670327,30,30
2025-12-01,False,Manufacturing,0.6,4,0,12.41676437,NEUTRAL;POS;POS;NEG;NO-NEWS;NO-NEWS;POS;NO-NEWS;NO-NEWS;STRONG-POS,WDC/VRT/ALB/AMD/BLDR/APP/COIN/CVNA/COHR/REGN,Manufacturing,0.7,0.007533198595046988,0.03269932270050047,0.047975228230158456,30,30
2025-12-02,False,Manufacturing,0.8,3,0,4.7708982025,POS;NEG;NEUTRAL;POS;NEG;NO-NEWS;NO-NEWS;NO-NEWS;POS;NEUTRAL,VRT/ANET/AMD/SNDK/SNPS/SWKS/TER/CIEN/COIN/STX,Manufacturing,0.6666666666666666,0.010772440830866486,0.03487571477890012,0.05511018633842467,30,30
2025-12-03,True,Manufacturing,0.8,8,0,6.134071345000001,POS;POS;POS;POS;POS;POS;POS;STRONG-POS;NEUTRAL;NO-NEWS,COIN/SNDK/LITE/COHR/WDC/AMD/ALB/INTC/ORCL/DECK,Manufacturing,0.7333333333333333,0.014570709069569884,0.025164022048314392,0.04332901438077289,30,30
2025-12-04,False,Manufacturing,0.9,4,0,5.48594121,NEG;POS;NO-NEWS;POS;NEUTRAL;POS;NEUTRAL;NO-NEWS;POS;NO-NEWS,ANET/VRT/GNRC/WDC/TER/SNDK/STX/MCHP/LITE/BLDR,Manufacturing,0.5666666666666667,0.014566045999526956,0.03603241642316179,-0.016135873397191355,30,30
2025-12-05,True,Manufacturing,0.9,6,0,2.936531881,POS;NO-NEWS;POS;POS;NO-NEWS;POS;NEUTRAL;STRONG-POS;NO-NEWS;POS,LITE/ALB/COHR/COIN/SNDK/WDC/INTC/MU/DECK/AMD,Manufacturing,0.6,0.007248524824778229,0.022217875719070416,-0.025871229171752927,30,30
2025-12-08,True,Manufacturing,0.8,7,0,4.206064929999999,NO-NEWS;POS;POS;NO-NEWS;POS;STRONG-POS;NEG;POS;STRONG-POS;STRONG-POS,SNDK/LITE/COHR/ALB/WDC/MU/INTC/HOOD/PSKY/VRT,Manufacturing,0.6,0.020791773001352917,-0.02030182480812072,-0.028943242629369082,30,30
2025-12-09,True,Manufacturing,0.9,6,0,6.23557087,POS;POS;NO-NEWS;NO-NEWS;POS;NO-NEWS;STRONG-POS;POS;POS;NEUTRAL,WDC/LITE/COIN/SNDK/CIEN/ALB/MU/COHR/AMD/INTC,Manufacturing,0.6,0.005569467941919952,-0.032368073860804224,-0.054857947429021184,30,30
2025-12-10,True,Manufacturing,0.9,5,0,13.376212202999998,NEUTRAL;NEUTRAL;POS;NO-NEWS;POS;NO-NEWS;NO-NEWS;POS;POS;POS,LITE/TER/WDC/SNDK/CIEN/COHR/ALB/REGN/WBD/STX,Manufacturing,0.6,-0.04644065697987872,-0.05711756745974218,-0.06425787210464474,30,30
2025-12-11,False,Manufacturing,0.7,4,0,9.045863109999999,NEUTRAL;NO-NEWS;NO-NEWS;NO-NEWS;POS;POS;POS;STRONG-POS;NEG;NEUTRAL,LITE/COHR/SNDK/TER/WDC/CIEN/PSKY/MU/COIN/DASH,Manufacturing,0.5333333333333333,-0.00229663451512655,-0.027420133352279642,0.023458476861317946,30,30
2025-12-12,True,Manufacturing,0.8,5,0,0.48826877999999996,NO-NEWS;NEUTRAL;NO-NEWS;NO-NEWS;POS;POS;POS;STRONG-POS;NEUTRAL;POS,COHR/LITE/SNDK/TER/WDC/CIEN/ALB/MU/COIN/PSKY,Manufacturing,0.6,0.00037389596303304015,-0.007704037427902221,0.039864931503931667,30,30
2025-12-15,False,Manufacturing,0.7,4,0,-2.1154630199999995,NEUTRAL;NO-NEWS;NEUTRAL;POS;POS;NO-NEWS;POS;STRONG-POS;NEG;NEUTRAL,COHR/SNDK/LITE/WDC/CIEN/TER/PSKY/MU/NCLH/COIN,Manufacturing,0.5666666666666667,-0.026551973819732625,0.023041915893554664,0.03238671422004699,30,30
2025-12-16,False,Manufacturing,0.8,5,0,-2.03151941,POS;POS;NEUTRAL;NEUTRAL;NO-NEWS;POS;POS;NO-NEWS;NEUTRAL;STRONG-POS,WDC/CIEN/COHR/LITE/SNDK/ALB/PSKY/TER/STX/SATS,Manufacturing,0.5333333333333333,0.02046528657277422,0.06478119691212969,0.06818093657493589,30,30
2025-12-17,False,Manufacturing,0.8,3,0,-7.449728200000001,NO-NEWS;NEUTRAL;NO-NEWS;NO-NEWS;NEUTRAL;POS;NO-NEWS;POS;POS;NO-NEWS,TER/WDC/LITE/CIEN/COHR/ALB/SNDK/NCLH/COIN/GNRC,Manufacturing,0.4666666666666667,0.028068770964940353,0.03487629691759743,0.04183045625686644,30,30
2025-12-18,False,Manufacturing,0.7,2,0,-6.66743635,NO-NEWS;NEUTRAL;NEUTRAL;POS;NO-NEWS;NEG;NO-NEWS;NEUTRAL;POS;NO-NEWS,LITE/COHR/WDC/ALB/TER/WBD/SNDK/CVNA/SATS/GNRC,Manufacturing,0.5333333333333333,0.012913835048675512,0.014402564366658523,0.0038267493247985734,30,30
